螟沥家疙,斥/岿/老,雀瞒,荐缴(m),荐柯(∩),DO(Х/L),BOD(Х/L),COD(Х/L),努肺肺鞘 a(Х/З),TN(Х/L),TP(Х/L),TOC(Х/L),荐家捞柯丑档,其愁幅(Х/L),傈扁傈档档(レS/Н),醚措厘闭焙荐(醚措厘闭焙荐/100ml),墨靛古(Х/L),矫救(Х/L),吵(Х/L),6啊农芬(Х/L),厚家(Х/L),荐篮(Х/L),备府(Х/L),酒楷(Х/L),农芬(Х/L),聪奶(Х/L),官俘(Х/L),伎饭唇(Х/L),侩粮醚龙家(Х/L),鞠葛聪酒己 龙家(Х/L),龙魂己 龙家(Х/L),侩粮醚牢(Х/L),牢魂堪牢(Х/L),SS(Х/L),琼荤努肺肺亥哩 (Ф/L),盒盔己措厘闭焙荐,阂家(Х/L),祸档(Х/L),畴富琼魂眠免拱龙(Х/L),侩秦己噶埃(Х/L),侩秦己枚(Х/L),澜捞柯拌搁劝己力(Х/L),飘府努肺肺俊瓶坊 (Х/L),抛飘扼努肺肺俊瓶坊(Х/L),荤堪拳藕家,1.2-叼努肺肺俊藕(Х/L),叼努肺肺皋藕(Х/L),亥哩(Х/L),弃府农肺府匙捞萍飘厚其匆(Х/L),蜡扁牢(Х/L),救萍阁 (Х/L),努肺肺器抚 (Х/L),叼俊瓶琼角橇呕饭捞飘 (Х/L),1.4-促捞苛技牢 (Х/L),捧疙档(m),蜡樊(З/s),器抚舅单洒靛(Х/L)
林鞠达,2006-08-30,2雀瞒,102,17.8,5.1,1.2,3,3.8,0.942,0.017,,6.3,0,67,2,,,,,,,,,,,,,0.83,0.014,0.726,0.01,0.008,2.3,,1,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2006-09-07,3雀瞒,101,18,5.1,1.2,3.2,3.6,1.02,0.011,,7.2,0,51,3,,,,,,,,,,,,,0.871,0.004,0.667,0.005,0.001,1.8,,1,,,,,,,,,,,,,,,,,,,2.6,,
林鞠达,2006-09-13,4雀瞒,101,16.8,4.3,1,2.9,3.4,1.104,0.013,,6.6,0,53,1,0,0,0,0,0,0,,,,,,,0.893,0.011,0.786,0.005,0.002,1.7,,0,,,,,,0,,,,,,,,,,,,,2.6,,
林鞠达,2006-09-21,1雀瞒,101,16.6,3.4,0.8,2.5,1.8,1.105,0.011,,6.9,0,49,2,,,,,,,,,,,,,0.997,0.016,0.896,0.006,0.001,1.4,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2006-09-26,2雀瞒,101,16,3.7,1.1,2.9,2.4,1.078,0.011,,7.1,0,58,1,,,,,,,,,,,,,0.817,0.007,0.763,0.005,0.001,2,,0,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2006-10-02,3雀瞒,100,17,4.1,1,2.8,1.6,1.002,0.008,,6.7,0,55,1,,,,,,,,,,,,,0.894,0.007,0.828,0.002,0,2.1,,0,,,,,,,,,,,,,,,,,,,2.9,,
林鞠达,2006-10-11,4雀瞒,100,14.4,3.2,0.9,2.7,2.6,0.852,0.011,,6.9,0,66,1,0,0,0,0,0,0,,,,,,,0.664,0.01,0.649,0.004,0.001,1.8,,0,,,,,,0,,,,,,,,,,,,,2.6,,
林鞠达,2006-10-18,5雀瞒,99,16.4,3.6,0.8,2.9,3.2,0.868,0.05,,6.4,0,57,5,,,,,,,,,,,,,0.736,0.013,0.681,0.018,0.001,2.1,,1,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2006-10-25,1雀瞒,99,17,5.1,0.9,2.6,2.8,0.87,0.01,,6.8,0,58,2,,,,,,,,,,,,,0.771,0.017,0.735,0.003,0.001,3.5,,0,,,,,,,,,,,,,,,,,,,3.6,,
林鞠达,2006-11-01,2雀瞒,98.8,15,3.9,0.8,2.9,2.8,0.947,0.01,,7.2,0,49,3,,0,,,,,,,,,,,0.856,0.018,0.721,0.006,0.002,2.2,,0,,,,,,,,,,,,,,,,,,,3.2,,
林鞠达,2006-11-08,3雀瞒,98.6,14.7,5.2,0.8,2.7,2.5,0.87,0.014,,6.6,0,60,3,0,,0,0,0,0,,,,,,,0.792,0.021,0.748,0.005,0.002,3.4,,0,,,,,,0,,,,,,,,,,,,,2.7,,
林鞠达,2006-11-15,4雀瞒,98.3,13.3,4,0.7,2.6,2.9,0.866,0.012,,6.7,0,88,5,,,,,,,,,,,,,0.758,0.05,0.688,0.005,0.002,2.6,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2006-11-22,1雀瞒,98,12.7,5.7,0.8,2.5,3.2,1.076,0.01,,7.5,0,63,6,,0,,,,,,,,,,,0.875,0.016,0.782,0.004,0.001,2.5,,1,,,,,,,,,,,,,,,,,,,3.2,,
林鞠达,2006-11-29,2雀瞒,97.9,12,5,0.8,2.7,2.5,0.9,0.011,,7.6,0,68,35,,,,0,,,,,,,,,0.826,0.05,0.716,0.004,0.002,3,,0,,,,,,0,,,,,,,,,,,,,3.4,,
林鞠达,2006-12-05,3雀瞒,97.7,10.7,5.4,1,2.5,2.8,1.088,0.007,,8.6,0,71,78,0,,0,,0,0,,,,,,,0.922,0.083,0.686,0.003,0.001,3.8,,0,,,,,,,,,,,,,,,,,,,2.6,,
林鞠达,2006-12-12,4雀瞒,97.5,10,5.8,0.8,2.7,3.1,0.87,0.004,,6.2,0,69,38,,,,,,,,,,,,,0.779,0.051,0.631,0.002,0.001,2.9,,0,,,,,,,,,,,,,,,,,,,2.7,,
林鞠达,2006-12-21,1雀瞒,97.2,9,5.8,0.8,2.8,2.6,0.789,0.008,,6,0,68,118,,,,,,,,,,,,,0.74,0.031,0.382,0.004,0.001,2.5,,8,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2006-12-28,2雀瞒,97,9,6.1,1,2.9,1.6,0.888,0.02,,6.1,0,69,48,,0,,,,,,,,,,,0.764,0.069,0.338,0.013,0.001,3.1,,0,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2007-01-04,3雀瞒,96.8,9,6.7,1.1,2.9,1.4,0.727,0.008,,6.6,0,78,50,,,,,,,,,,,,,0.676,0.029,0.391,0.004,0.002,3.1,,0,,,,,,,,,,,,,,,,,,,1.8,,
林鞠达,2007-01-10,4雀瞒,96.6,7,8.9,1,2.6,0.4,0.798,0.012,,7.4,0,55,48,0,,0,0,0,0,,,,,,,0.706,0.034,0.365,0.006,0.001,3.2,,0,,,,,,0,,,,,,,,,,,,,1.5,,
林鞠达,2007-01-17,5雀瞒,96.3,6,10.3,0.9,2.8,1.2,0.737,0.01,,7.3,0,51,32,,,,,,,,,,,,,0.671,0.044,0.526,0.008,0.001,3.4,,0,,,,,,,,,,,,,,,,,,,1.5,,
林鞠达,2007-01-23,1雀瞒,96.1,6,9.5,1,2.8,1.2,0.717,0.006,,7.9,0,52,25,0,0,0,0,0,0,,,,,,,0.689,0.015,0.509,0.002,0.001,3.4,,0,,,,,,0,,,,,,,,,,,,,2.3,,
林鞠达,2007-02-06,3雀瞒,95.5,5,12,0.9,2.6,1.5,0.748,0.008,,5.6,0,76,1,,,,,,,,,,,,,0.715,0.016,0.512,0.005,0.002,3.4,,0,,,,,,,,,,,,,,,,,,,2.1,,
林鞠达,2007-02-15,4雀瞒,95.4,5,11.3,0.8,2.6,1.4,0.768,0.009,,7,0,71,1,,,,,,,,,,,,,0.703,0.009,0.511,0.005,0.002,2.4,,0,,,,,,,,,,,,,,,,,,,2.5,,
林鞠达,2007-02-27,2雀瞒,95.1,7,10.9,0.8,2.5,2.3,0.699,0.012,,6.6,0,57,1,,,,,,,,,,,,,0.644,0.021,0.503,0.006,0,1.9,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-03-08,1雀瞒,95.3,6,11.1,0.9,2.8,1.4,0.716,0.007,,6.5,0,66,3,,,,,,,,,,,,,0.7,0.018,0.505,0.005,0,3,,0,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2007-03-08,3雀瞒,96.3,7,9.5,0.9,2.7,2.6,0.715,0.008,,6.6,0,78,8,0,0,0,0,0,0,,,,,,,0.614,0.028,0.504,0.005,0,3.3,,1,,,,,,0,0,0,0,0,0,0,,,,0,,,2.8,,
林鞠达,2007-03-14,4雀瞒,96.2,7,9.1,0.9,2.4,2.8,0.814,0.007,,8,0,77,5,,,,,,,,,,,,,0.746,0.008,0.506,0.003,0,2.2,,0,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2007-03-21,1雀瞒,95.9,7,10.3,0.9,2.7,5.2,0.775,0.016,,6.5,0,75,2,,,,,,,,,,,,,0.704,0.016,0.487,0.004,0.001,2.6,,0,,,,,,0,,,,,,,,,,,,,3.2,,
林鞠达,2007-03-28,2雀瞒,95.8,8,12.1,0.9,2.5,3.9,0.836,0.011,,6.3,0,55,8,,0,,,,0,,,,,,,0.762,0.008,0.489,0.005,0.001,1.8,,0,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2007-04-05,3雀瞒,95.6,11,11.4,0.8,2.6,3.6,0.897,0.013,,6.5,0,72,9,,,,,,,,,,,,,0.84,0.008,0.509,0.005,0.001,2.6,,0,,,,,,,,,,,,,,,,,,,2.3,,
林鞠达,2007-04-11,4雀瞒,95.3,10,11.3,0.9,2.9,3.6,0.783,0.01,,7.6,0,68,9,,,,,,,,,,,,,0.697,0.017,0.509,0.004,0,2.4,,0,,,,,,,,,,,,,,,,,,,2.3,,
林鞠达,2007-04-18,5雀瞒,95,13,10.9,1,2.9,3,0.709,0.007,,6.9,0,67,10,0,,0,0,0,,,,,,,,0.662,0.008,0.513,0.003,0,1.8,,0,,,,,,,,,,,,,,,,,,,2.6,,
林鞠达,2007-04-25,1雀瞒,94.7,13,10.7,0.9,2.6,2.8,1.119,0.014,,7.9,0,70,15,,,,,,,,,,,,,0.954,0.025,0.541,0.006,0,2.2,,0,,,,,,,,,,,,,,,,,,,2.8,,
林鞠达,2007-05-02,2雀瞒,94.4,12,10.4,0.9,2.5,2.3,1.137,0.014,,7.6,0,67,11,,,,,,,,,,,,,0.944,0.008,0.579,0.008,0,2.3,,0,,,,,,,,,,,,,,,,,,,2,,
林鞠达,2007-05-09,3雀瞒,94.4,14,9.9,1,2.8,2,0.697,0.014,,7.9,0,67,19,,,,,,,,,,,,,0.674,0.017,0.581,0.006,0,3,,0,,,,,,,,,,,,,,,,,,,1.8,,
林鞠达,2007-05-15,4雀瞒,94.2,14,9.5,1,2.4,2.8,0.782,0.013,,8.4,0,67,9,0,0,0,0,0,0,,,,,,,0.734,0.016,0.575,0.007,0,2.5,,0,,,,,,0,,,,,,,,,,,,,2,,
林鞠达,2007-05-23,1雀瞒,93.8,12,8.1,1,2.4,2.8,0.856,0.007,,7.6,0,66,4,,,,,,0,,,,,,,0.828,0.011,0.576,0.004,0,2.9,,0,,,,,,0,,,,,,,,,,,,,2,,
林鞠达,2007-05-30,2雀瞒,93.6,13,6.5,0.8,2.3,2.4,0.83,0.008,,7.3,0,66,12,,,,,,,,,,,,,0.793,0.009,0.546,0.005,0.001,2,,1,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-06-07,3雀瞒,93,13,6.9,0.8,2.7,2.5,0.669,0.012,,7.2,0,67,19,,0,,,,,,,,,,,0.625,0.031,0.547,0.003,0.001,1.7,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-06-13,4雀瞒,92.5,14,6.6,0.7,2.4,3.4,0.654,0.01,,7.3,0,66,30,,,,,,,,,,,,,0.628,0.009,0.532,0.007,0.001,2.4,,0,,,,,,,,,,,,,,,,,,,2.7,,
林鞠达,2007-06-20,5雀瞒,91.9,14,6.9,0.6,2.7,5.6,0.672,0.01,,7.2,0,60,27,0,,0,0,0,,,,,,,,0.599,0.025,0.554,0.004,0,2,,0,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-06-27,1雀瞒,91.4,14,7.1,0.6,2.2,2.8,0.867,0.008,,7.1,0,58,15,,,,,,,,,,,,,0.783,0.038,0.534,0.005,0.001,1.4,,0,,,,,,,,,,,,,,,,,,,3.8,,
林鞠达,2007-07-04,2雀瞒,92.2,14,6.5,0.7,2.5,2.5,0.859,0.008,,7.1,0,59,23,0,0,0,0,0,0,,,,,,,0.791,0.032,0.578,0.003,0,2.1,,1,,,,,,0,,,,,,,,,,,,,3.6,,
林鞠达,2007-07-11,3雀瞒,93.5,14,6.5,0.6,2.5,2,0.643,0.006,,7.1,0,58,16,,,,,,,,,,,,,0.612,0.023,0.576,0.004,0.001,1.4,,0,,,,,,,,,,,,,,,,,,,4.1,,
林鞠达,2007-07-18,4雀瞒,93.4,15,5.6,0.5,2.5,2.2,0.91,0.007,,7.1,0,60,12,,,,,,,,,,,,,0.823,0.043,0.625,0.004,0,1.3,,0,,,,,,,,,,,,,,,,,,,4.4,,
林鞠达,2007-07-25,1雀瞒,93.5,16,5.2,0.7,2.7,2.4,0.828,0.005,,7.3,0,60,4,0,,0,0,0,0,,,,,,,0.773,0.039,0.645,0.003,0,1.4,,0,,,,,,,,,,,,,,,,,,,4.7,,
林鞠达,2007-08-01,2雀瞒,93.1,16,5,0.5,2.4,2.4,0.75,0.006,,7.3,0,61,31,,,,,,,,,,,,,0.697,0.044,0.603,0.004,0,1.5,,0,,,,,,,,,,,,,,,,,,,3.4,,
林鞠达,2007-08-08,3雀瞒,95,16,4.6,0.5,2.9,4.3,0.804,0.007,,7.2,0,61,9,,0,,,,,,,,,,,0.684,0.045,0.57,0.004,0.001,1.9,,0,,,,,,0,,,,,,,,,,,,,2.8,,
林鞠达,2007-08-16,4雀瞒,104.7,19,4.7,0.5,2.8,2.4,1.028,0.014,,7.2,0,60,13,,,,,,,,,,,,,0.779,0.042,0.695,0.009,0.004,3.8,,0,,,,,,,,,,,,,,,,,,,2.2,,
林鞠达,2007-08-23,1雀瞒,105.7,20,6.9,0.6,1.9,1.7,0.781,0.008,,7.4,0,57,24,,,,,,,,,,,,,0.767,0.01,0.623,0.006,0.001,2.7,,5,,,,,,0,,,,,,,,,,,,,4.1,,
林鞠达,2007-08-29,2雀瞒,105.9,19,4.8,0.5,3.1,2.3,1.263,0.009,,7.4,0,57,12,,,,,,,,,,,,,0.93,0.005,0.622,0.005,0.001,1.5,,7,,,,,,,,,,,,,,,,,,,3.9,,
林鞠达,2007-09-04,3雀瞒,108.1,19,5,0.6,3,3.6,0.88,0.01,,7.1,0,53,15,0,0,0,0,0,0,,,,,,,0.754,0.025,0.655,0.006,0.001,1.6,,1,,,,,,,0,0,0,0,0,0,,,,0,,,2.8,,
林鞠达,2007-09-12,4雀瞒,107.6,18,5.4,0.6,2.9,3.7,0.798,0.011,,7.2,0,52,15,,,,,,,,,,,,,0.692,0.031,0.628,0.006,0.003,1.6,,2,,,,,,,,,,,,,,,,,,,2.5,,
林鞠达,2007-09-20,5雀瞒,106.2,18,5.2,1,3.6,9.7,0.905,0.024,,6.6,0,42,78,,,,,,,,,,,,,0.757,0.015,0.606,0.008,0.004,8.1,,11,,,,,,,,,,,,,,,,,,,0.9,,
林鞠达,2007-09-27,1雀瞒,107,18,5.9,1.1,3.8,8.1,0.564,0.028,,7.2,0,38,26,0,,0,0,0,,,,,,,,0.516,0.031,0.434,0.012,0.005,5,,5,,,,,,,,,,,,,,,,,,,1.5,,
林鞠达,2007-10-04,2雀瞒,107.1,18,5.2,1.2,3.2,3.9,0.76,0.024,,6.8,0,38,24,,,,,,,,,,,,,0.668,0.034,0.549,0.013,0.005,3.6,,8,,,,,,,,,,,,,,,,,,,1.8,,
林鞠达,2007-10-10,3雀瞒,107,17,4,0.5,2.9,1.2,0.772,0.03,,6.4,0,37,18,,0,,,,0,,,,,,,0.568,0.027,0.467,0.016,0.007,2.4,,6,,,,,,0,,,,,,,,,,,,,,,
林鞠达,2007-10-17,4雀瞒,103.2,17,4.2,0.8,2.8,2.3,0.896,0.017,,6.5,0,38,35,,,,,,,,,,,,,0.784,0.03,0.552,0.011,0.004,3,,6,,,,,,,,,,,,,,,,,,,2.3,,
林鞠达,2007-10-24,1雀瞒,106.2,16,4.7,0.7,2.8,2.8,1.216,0.021,,6.5,0,38,52,,,,,,0,,,,,,,0.816,0.062,0.562,0.012,0.006,2.9,,5,,,,,,,,,,,,,,,,,,,2,,
林鞠达,2007-11-07,3雀瞒,105.3,15,5.2,0.7,2.2,3.1,1.168,0.016,,6.6,0,38,43,,0,,,,,,,,,,,0.656,0.022,0.389,0.013,0.012,1.7,,5,,,,,,,,,,,,,,,,,,,3.5,,
林鞠达,2007-11-13,4雀瞒,104.9,14,5.1,0.7,2.1,3.6,1.264,0.015,,6.6,0,42,48,,,,,,,,,,,,,0.592,0.068,0.388,0.003,0.004,1.9,,18,,,,,,,,,,,,,,,,,,,2.9,,
林鞠达,2007-11-21,1雀瞒,104.3,13,5.8,1.7,3.4,2.3,1.52,0.026,,6.7,0,40,28,0,,0,0,0,,,,,,,,1.344,0.088,0.679,0.016,0.002,2.9,,14,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-11-28,2雀瞒,103.8,12,5.5,1.9,3.7,3.9,1.952,0.016,,6.8,0,44,36,,,,,,,,,,,,,1.424,0.108,0.68,0.012,0.005,3.2,,18,,,,,,,,,,,,,,,,,,,3,,
林鞠达,2007-12-06,3雀瞒,103.3,11,6,0.6,2.5,2.6,1.424,0.011,,6.8,0,44,23,,0,,,,0,,,,,,,0.704,0.064,0.598,0.004,0.003,1.8,,3,,,,,,0,,,,,,,,,,,,,3,,
林鞠达,2007-12-13,4雀瞒,102.9,10,5.6,0.5,2.6,3,2.003,0.016,,6.8,0,44,44,,,,,,,,,,,,,1.456,0.046,0.64,0.011,0.004,1.5,,4,,,,,,,,,,,,,,,,,,,2,,
林鞠达,2007-12-20,5雀瞒,102.6,9,6.2,0.9,2.8,1.5,2.064,0.01,,6.8,0,46,32,,,,,,,,,,,,,1.776,0.06,0.529,0.005,0.005,2.5,,5,,,,,,,,,,,,,,,,,,,3,,
