지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,대전,2023-03-02 1:00,2,,3.2,320,40,2.8,-10.2,1016.9,1025.5,,,,,0,0,,,4981,,,-0.6,3.2,5.6,6.4,7.1
133,대전,2023-03-02 2:00,1.7,,3.5,320,42,2.9,-9.8,1017,1025.6,,,,,0,0,,,4990,,,-0.7,2.9,5.3,6.2,6.9
133,대전,2023-03-02 3:00,1.1,,3.6,320,42,2.8,-10.4,1017.1,1025.7,,,,,0,0,,,4933,,,-0.9,2.5,5,5.9,6.7
133,대전,2023-03-02 4:00,0.6,,3.6,320,31,2,-14.6,1017.4,1026,,,,,0,0,,,5000,,,-1.3,2,4.7,5.6,6.5
133,대전,2023-03-02 5:00,0.1,,4.4,320,28,1.7,-16.2,1018,1026.6,,,,,0,0,,,4967,,,-1.6,1.7,4.4,5.5,6.3
133,대전,2023-03-02 6:00,-0.8,,2.2,320,27,1.6,-17.5,1018.5,1027.2,,,,,0,0,,,4863,,,-2,1.4,4.1,5.2,6.1
133,대전,2023-03-02 7:00,-1.4,,2.1,320,31,1.7,-16.3,1019.2,1027.9,,,,,0,0,,,4708,,,-2.5,1,3.9,5,5.9
133,대전,2023-03-02 8:00,0.4,,1.9,320,26,1.6,-16.9,1019.9,1028.5,0.7,0.2,,,0,0,,,4177,,,-1.7,1,3.7,4.8,5.8
133,대전,2023-03-02 9:00,2.1,,3.8,320,21,1.5,-18,1020.7,1029.3,1,0.9,,,0,0,,,4209,,,-0.1,1.8,3.7,4.8,5.8
133,대전,2023-03-02 10:00,3.1,,2.7,320,18,1.4,-18.9,1021,1029.5,1,1.63,,,0,0,,,3996,,,6.6,3,3.8,4.7,5.7
133,대전,2023-03-02 11:00,3.9,,4,320,17,1.4,-19,1021.1,1029.6,1,2.23,,,0,0,,,4403,,,12.2,4.7,4.1,4.7,5.6
133,대전,2023-03-02 12:00,4.8,,3.3,320,18,1.6,-17.5,1020.8,1029.3,1,2.66,,,0,0,,,4365,,,17.2,6.5,4.5,4.9,5.5
133,대전,2023-03-02 13:00,6.3,,3.3,340,16,1.5,-17.7,1019.6,1028,1,2.82,,,0,0,,,4578,,,21,8.4,5,5.2,5.6
133,대전,2023-03-02 14:00,6.5,,2.7,320,16,1.6,-17.5,1018.6,1027,1,2.77,,,0,0,,,4898,,,21.7,10,5.8,5.7,5.8
133,대전,2023-03-02 15:00,7,,3.1,290,14,1.4,-18.7,1018.6,1027,1,2.49,,,0,0,,,4973,,,20.9,10.9,6.7,6.2,6.1
133,대전,2023-03-02 16:00,7.5,,3.5,320,15,1.6,-17.5,1018.6,1027,1,1.96,,,0,0,,,5000,,,18.4,11.1,7.4,6.7,6.4
133,대전,2023-03-02 17:00,6.4,,3,320,13,1.2,-20.1,1018.4,1026.8,1,1.29,,,0,0,,,5000,,,12.5,10.7,7.7,7.1,6.7
133,대전,2023-03-02 18:00,4.6,,4,320,15,1.3,-19.8,1018.6,1027.1,0.9,0.53,,,0,0,,,5000,,,5.7,8.8,7.7,7.3,7
133,대전,2023-03-02 19:00,3,,3.5,320,23,1.7,-16.1,1019.4,1027.9,0,0.02,,,0,0,,,4992,,,2.9,7.2,7.4,7.3,7.1
133,대전,2023-03-02 20:00,1.4,,1.5,20,26,1.8,-16,1020.5,1029.1,,,,,0,0,,,4907,,,0.9,5.8,7,7.2,7.2
133,대전,2023-03-02 21:00,0.6,,0.5,50,30,1.9,-15,1021.1,1029.7,,,,,0,0,,,4708,,,-0.6,4.7,6.4,7,7.2
133,대전,2023-03-02 22:00,-0.1,,1.4,320,34,2.1,-14.1,1021.2,1029.9,,,,,0,0,,,4793,,,-1,3.8,6,6.7,7.1
133,대전,2023-03-02 23:00,-0.3,,0.4,0,35,2.1,-13.9,1021.6,1030.3,,,,,0,0,,,4916,,,-1.4,3.2,5.5,6.4,7
133,대전,2023-03-03 0:00,-0.8,,1.6,230,40,2.3,-12.7,1021.5,1030.2,,,,,0,0,,,4530,,,-1.6,2.5,5.1,6.1,6.8
133,대전,2023-03-03 1:00,-1.4,,2,230,44,2.4,-12.1,1021.4,1030.1,,,,,0,0,,,4326,,,-1.8,2.1,4.8,5.8,6.6
133,대전,2023-03-03 2:00,-2.1,,0.1,0,48,2.5,-11.6,1021.2,1029.9,,,,,0,0,,,4417,,,-2.2,1.6,4.5,5.6,6.4
133,대전,2023-03-03 3:00,-2.6,,0,0,50,2.5,-11.6,1021.1,1029.8,,,,,0,0,,,4328,,,-2.4,1.3,4.2,5.3,6.3
133,대전,2023-03-03 4:00,-3.2,,0.9,270,54,2.6,-11.2,1020.4,1029.2,,,,,0,0,,,4376,,,-2.8,0.9,3.8,5.1,6
133,대전,2023-03-03 5:00,-3.5,,0.9,320,53,2.5,-11.7,1020.5,1029.3,,,,,0,0,,,4522,,,-3,0.7,3.6,4.8,5.8
133,대전,2023-03-03 6:00,-3.6,,0,0,56,2.6,-11.1,1020.9,1029.7,,,,,0,0,,,4535,,,-3.3,0.4,3.4,4.6,5.6
133,대전,2023-03-03 7:00,-4.1,,0.1,0,59,2.7,-10.9,1021.3,1030.1,0,0,,,0,0,,,4144,,,-3.5,0.3,3.2,4.4,5.5
133,대전,2023-03-03 8:00,-2.3,,0,0,57,3,-9.6,1021.2,1029.9,0.7,0.21,,,0,0,,,3671,,,-2.4,0.4,3.1,4.3,5.4
133,대전,2023-03-03 9:00,0.7,,0.6,230,44,2.8,-10.1,1021.9,1030.5,1,0.87,,,0,0,,,4496,,,-0.1,1.2,3.1,4.3,5.4
133,대전,2023-03-03 10:00,3.5,,1.6,180,37,2.9,-9.8,1021.1,1029.6,1,1.59,,,0,0,,,4113,,,5.7,2.5,3.2,4.3,5.3
133,대전,2023-03-03 11:00,6.4,,2.5,230,34,3.3,-8.3,1020.8,1029.2,1,2.18,,,0,0,,,4997,,,13.5,4.7,3.6,4.3,5.2
133,대전,2023-03-03 12:00,8.7,,2.3,200,26,2.9,-9.7,1019.8,1028.1,1,2.58,,,0,0,,,4928,,,19.2,7.2,4.1,4.5,5.2
133,대전,2023-03-03 13:00,10.9,,2.8,180,22,2.9,-10,1019,1027.3,1,2.75,,,0,0,,,4773,,,23.3,9.7,4.7,4.9,5.3
133,대전,2023-03-03 14:00,11.7,,4.1,340,22,3,-9.3,1018,1026.2,1,2.67,,,0,0,,,4618,,,24.4,11.3,5.7,5.4,5.5
133,대전,2023-03-03 15:00,12,,3.2,290,23,3.2,-8.5,1017.4,1025.6,1,2.33,,,0,0,,,4089,,,22.7,12.2,6.7,6,5.8
133,대전,2023-03-03 16:00,12.6,,2,230,23,3.3,-8,1017.1,1025.3,1,1.8,,,2,0,Ci,,3569,,,20.5,12.7,7.6,6.6,6.3
133,대전,2023-03-03 17:00,11.6,,2.7,230,26,3.6,-7.2,1017.2,1025.4,1,1.16,,,1,0,Ci,,4092,,,14.8,12.2,8,7.1,6.7
133,대전,2023-03-03 18:00,9.5,,2.4,230,35,4.2,-5.2,1017.9,1026.2,0.9,0.43,,,2,0,Ci,,4651,,,9.1,10.5,8.1,7.5,6.9
133,대전,2023-03-03 19:00,7.5,,2.1,250,45,4.7,-3.6,1018.7,1027.1,0,0.02,,,0,0,,,4611,,,6.1,8.9,7.9,7.6,7.2
133,대전,2023-03-03 20:00,6.2,,2.2,200,53,5,-2.6,1019.2,1027.6,,,,,0,0,,,4373,,,4.3,7.7,7.6,7.5,7.3
133,대전,2023-03-03 21:00,5.2,,1.8,230,58,5.1,-2.4,1019.6,1028.1,,,,,0,0,,,3953,,,3.1,6.7,7.2,7.4,7.4
133,대전,2023-03-03 22:00,4.3,,2,200,64,5.3,-1.9,1020.3,1028.8,,,,,0,0,,,3337,,,2.6,6,6.9,7.2,7.4
133,대전,2023-03-03 23:00,3.5,,1.7,200,71,5.6,-1.2,1020.8,1029.3,,,,,0,0,,,3382,,,1.8,5.4,6.6,7.1,7.3
133,대전,2023-03-04 0:00,3.3,,1.9,180,75,5.8,-0.7,1021,1029.5,,,,,0,0,,,2884,,,1,4.7,6.2,6.8,7.2
133,대전,2023-03-04 1:00,1.6,,1.6,320,73,5,-2.7,1020.7,1029.3,,,,,4,2,,,2668,,,0.9,4.3,5.9,6.6,7.1
133,대전,2023-03-04 2:00,1.5,,0.3,0,74,5,-2.6,1020.9,1029.5,,,,,5,5,,65,2496,,,0.9,4,5.6,6.4,6.9
133,대전,2023-03-04 3:00,1.2,,1.4,340,78,5.2,-2.2,1020.8,1029.4,,,,,5,0,Ci,,2127,,,0.3,3.7,5.4,6.2,6.8
133,대전,2023-03-04 4:00,1,,0,0,79,5.2,-2.2,1020.6,1029.2,,,,,7,0,Ci,,2051,,,0,3.3,5.1,5.9,6.7
133,대전,2023-03-04 5:00,0.6,,0,0,80,5.1,-2.4,1020.9,1029.5,,,,,5,0,Ci,,1856,,,-0.3,3,4.9,5.7,6.5
133,대전,2023-03-04 6:00,0.1,,0,0,82,5,-2.6,1021,1029.7,,,,,5,0,Ci,,1703,,,-0.6,2.7,4.7,5.6,6.4
133,대전,2023-03-04 7:00,-0.4,,0,0,85,5,-2.6,1021,1029.7,0,0,,,6,0,Ci,,1267,,,-0.8,2.4,4.5,5.4,6.2
133,대전,2023-03-04 8:00,0.3,,0,0,82,5.1,-2.4,1021.3,1030,0,0.14,,,4,0,Ci,,1384,,,0.1,2.3,4.3,5.2,6.1
133,대전,2023-03-04 9:00,3.6,,0,0,74,5.8,-0.6,1021.6,1030.1,0.3,0.68,,,8,0,Ci,,1622,,,5.8,3.5,4.4,5.2,6.1
133,대전,2023-03-04 10:00,5.5,,1.9,180,63,5.7,-0.9,1021.6,1030.1,1,1.52,,,6,0,Ci,,1739,,,11.4,5.8,4.6,5.3,6
133,대전,2023-03-04 11:00,7.7,,2.3,140,57,6,-0.2,1021.7,1030.1,0.7,1.37,,,8,0,Ci,,1904,,,12.8,7.1,5.1,5.3,6
133,대전,2023-03-04 12:00,9.1,,1.8,160,52,6,-0.2,1021.4,1029.7,0.7,1.49,,,8,0,Ci,,1710,,,15.6,8.4,5.6,5.6,6
133,대전,2023-03-04 13:00,11.1,,1.3,180,45,5.9,-0.4,1020.5,1028.8,0.9,1.91,,,9,0,Ci,,1795,,,20.9,10,6.2,6,6.2
133,대전,2023-03-04 14:00,12.4,,0.9,140,35,5,-2.6,1019.5,1027.7,0.3,1.37,,,7,0,Cs,,1458,,,18.3,10.9,6.8,6.3,6.4
133,대전,2023-03-04 15:00,13.3,,1.7,140,31,4.7,-3.5,1019,1027.2,1,1.45,,,5,0,Ci,,1229,,,19.6,11.5,7.5,6.8,6.6
133,대전,2023-03-04 16:00,13.3,,0.9,230,30,4.6,-3.9,1018.8,1027,0.6,1.3,,,8,0,Ci,,1324,,,16.5,12,8,7.2,6.8
133,대전,2023-03-04 17:00,13.4,,1.5,360,25,3.8,-6.2,1018.7,1026.9,0.4,0.81,,,8,0,Ci,,1081,,,14.5,11.5,8.3,7.5,7.1
133,대전,2023-03-04 18:00,11.7,,1.3,340,31,4.2,-4.9,1019,1027.3,0.6,0.42,,,4,0,Ci,,1184,,,9.4,10.5,8.4,7.7,7.3
133,대전,2023-03-04 19:00,9.3,,1.9,340,41,4.8,-3.3,1019.4,1027.7,0,0.02,,,0,0,,,1201,,,5.8,8.9,8.2,7.8,7.5
133,대전,2023-03-04 20:00,8.2,,0,0,41,4.5,-4.2,1019.9,1028.3,,,,,0,0,,,1359,,,4.1,7.6,7.9,7.8,7.6
133,대전,2023-03-04 21:00,7.3,,0,0,35,3.6,-7.1,1020.2,1028.6,,,,,0,0,,,1806,,,2.9,6.7,7.5,7.6,7.6
133,대전,2023-03-04 22:00,6.7,,0,0,36,3.5,-7.3,1020.9,1029.3,,,,,0,0,,,2031,,,2,6,7.1,7.4,7.6
133,대전,2023-03-04 23:00,5.8,,1.4,50,38,3.5,-7.4,1020.9,1029.4,,,,,0,0,,,2213,,,1.3,5.2,6.7,7.2,7.5
133,대전,2023-03-05 0:00,4.7,,0,0,43,3.7,-6.8,1021,1029.5,,,,,0,0,,,2059,,,0.9,4.7,6.4,7,7.4
133,대전,2023-03-05 1:00,3.2,,1.7,320,50,3.8,-6.2,1020.8,1029.3,,,,,0,0,,,1831,,,0.4,4.2,6,6.7,7.2
133,대전,2023-03-05 2:00,2.4,,0,0,51,3.7,-6.7,1021.1,1029.7,,,,,0,0,,,2168,,,-0.2,3.7,5.7,6.5,7.1
133,대전,2023-03-05 3:00,1.9,,0,0,55,3.8,-6.2,1020.8,1029.4,,,,,0,0,,,2153,,,-0.5,3.3,5.5,6.3,6.9
133,대전,2023-03-05 4:00,0.8,,0,0,59,3.8,-6.3,1020.5,1029.1,,,,,0,0,,,2038,,,-0.8,2.8,5.2,6,6.8
133,대전,2023-03-05 5:00,0.3,,0,0,62,3.9,-6.1,1020.8,1029.5,,,,,0,0,,,1882,,,-1,2.4,4.9,5.8,6.6
133,대전,2023-03-05 6:00,0.1,,0,0,63,3.9,-6.1,1021,1029.7,,,,,0,0,,,1661,,,-1.1,2.1,4.7,5.6,6.4
133,대전,2023-03-05 7:00,-0.5,,0,0,65,3.8,-6.2,1021.3,1030,0,0,,,0,0,,,1517,,,-1.3,1.8,4.4,5.4,6.2
133,대전,2023-03-05 8:00,0.3,,0,0,66,4.1,-5.3,1021.6,1030.3,0.1,0.17,,,0,0,,,1353,,,-0.6,2,4.2,5.2,6.1
133,대전,2023-03-05 9:00,3.8,,0,0,56,4.5,-4.1,1022,1030.5,1,0.73,,,0,0,,,992,,40,3.8,3.2,4.3,5.2,6.1
133,대전,2023-03-05 10:00,6.7,,0,0,47,4.6,-3.8,1021.7,1030.1,1,1.42,,,0,0,,,955,,40,10,5,4.5,5.2,6.1
133,대전,2023-03-05 11:00,9.7,,1.4,160,43,5.2,-2.2,1021.1,1029.4,1,2,,,0,0,,,1154,,40,16.3,7.2,5,5.3,6
133,대전,2023-03-05 12:00,13.4,,1.7,160,37,5.7,-1,1020.2,1028.4,1,2.43,,,0,0,,,1084,,,22.2,9.6,5.6,5.6,6.1
133,대전,2023-03-05 13:00,14.6,,1.8,140,26,4.3,-4.7,1019.1,1027.2,1,2.64,,,0,0,,,940,,40,26.3,11.8,6.4,6,6.2
133,대전,2023-03-05 14:00,16.3,,1.4,200,23,4.2,-4.9,1017.7,1025.8,1,2.59,,,0,0,,,982,,40,27.6,13.8,7.4,6.6,6.5
133,대전,2023-03-05 15:00,16.2,,2.9,180,23,4.2,-4.9,1016.9,1025,1,2.22,,,0,0,,,1044,,40,26,14.6,8.4,7.3,6.8
133,대전,2023-03-05 16:00,16.7,,2.1,340,18,3.4,-7.7,1016.4,1024.5,1,1.66,,,0,0,,,1354,,,23,14.8,9.2,7.9,7.3
133,대전,2023-03-05 17:00,15.8,,2.1,320,20,3.6,-7.1,1015.9,1024,1,1.05,,,0,0,,,1337,,,17.5,14.2,9.6,8.4,7.7
133,대전,2023-03-05 18:00,14.1,,1.3,20,26,4.2,-5.1,1015.7,1023.8,0.6,0.37,,,1,0,Ci,,1171,,,11.5,12.5,9.7,8.7,8
133,대전,2023-03-05 19:00,11.5,,2.7,340,28,3.8,-6.4,1016.5,1024.7,0,0.03,,,0,0,,,1288,,,7.8,10.7,9.5,8.9,8.2
133,대전,2023-03-05 20:00,9.8,,1.2,360,30,3.6,-6.9,1017.1,1025.4,,,,,0,0,,,1508,,,5.7,9.3,9.1,8.8,8.4
133,대전,2023-03-05 21:00,8.8,,1.4,50,28,3.2,-8.7,1017.3,1025.6,,,,,0,0,,,1770,,,4.1,8.2,8.7,8.7,8.4
133,대전,2023-03-05 22:00,7.7,,0.9,340,28,2.9,-9.7,1017.7,1026.1,,,,,0,0,,,2073,,,3.2,7.3,8.3,8.4,8.4
133,대전,2023-03-05 23:00,5.9,,1.5,270,38,3.5,-7.3,1017.8,1026.2,,,,,0,0,,,1719,,,2.2,6.5,7.8,8.2,8.3
133,대전,2023-03-06 0:00,4.7,,0,0,40,3.4,-7.7,1017.9,1026.4,,,,,0,0,,,1808,,,1.4,5.7,7.4,7.9,8.2
133,대전,2023-03-06 1:00,3.7,,0.8,270,44,3.5,-7.4,1017.8,1026.3,,,,,0,0,,,1926,,,0.9,5.1,7,7.6,8
133,대전,2023-03-06 2:00,2.8,,0.5,290,48,3.6,-7.1,1017.8,1026.3,,,,,0,0,,,1813,,,0.3,4.5,6.6,7.3,7.8
133,대전,2023-03-06 3:00,2.1,,0.2,0,51,3.6,-7,1017.4,1026,,,,,0,0,,,1711,,,-0.2,4,6.3,7.1,7.7
133,대전,2023-03-06 4:00,1.5,,0.4,0,53,3.6,-7,1017.2,1025.8,,,,,0,0,,,1845,,,-0.5,3.5,6,6.8,7.5
133,대전,2023-03-06 5:00,0.5,,0,0,55,3.5,-7.5,1017.3,1025.9,,,,,0,0,,,1826,,,-0.9,3,5.6,6.5,7.3
133,대전,2023-03-06 6:00,0.1,,0,0,59,3.6,-6.9,1017.5,1026.1,,,,,0,0,,,1591,,,-1.4,2.6,5.3,6.2,7.1
133,대전,2023-03-06 7:00,-0.3,,0,0,63,3.8,-6.5,1017.6,1026.2,0,0,,,0,0,,,1307,,,-1.5,2.2,5,6,6.8
133,대전,2023-03-06 8:00,0.8,,0.1,0,60,3.9,-6,1018.1,1026.7,0.5,0.22,,,0,0,,,1212,,,-0.7,2.3,4.8,5.8,6.7
133,대전,2023-03-06 9:00,4.3,,0,0,53,4.4,-4.4,1018.3,1026.8,1,0.85,,,0,0,,,816,,40,4.3,3.8,4.8,5.8,6.7
133,대전,2023-03-06 10:00,7.8,,0.9,180,43,4.5,-4,1017.9,1026.3,1,1.57,,,0,0,,,825,,40,11.2,5.6,5.1,5.7,6.6
133,대전,2023-03-06 11:00,11.7,,2,160,30,4.1,-5.3,1017.4,1025.6,1,2.19,,,0,0,,,893,,40,18.2,7.9,5.5,5.9,6.6
133,대전,2023-03-06 12:00,14.6,,2.6,230,17,2.8,-10.2,1016.4,1024.5,1,2.63,,,0,0,,,2129,,40,23.3,10.2,6.1,6.1,6.6
133,대전,2023-03-06 13:00,15.2,,4.5,200,19,3.3,-8.3,1015.2,1023.3,1,2.85,,,0,0,,,1845,,,26.1,12.3,6.8,6.6,6.7
133,대전,2023-03-06 14:00,16.3,,3.8,230,17,3.1,-8.8,1014.1,1022.2,1,2.8,,,0,0,,,2035,,,28,14,7.8,7.2,7
133,대전,2023-03-06 15:00,16.5,,4.7,200,14,2.6,-11.1,1013.5,1021.6,1,2.43,,,0,0,,,2533,,,26.3,15.1,8.8,7.9,7.3
133,대전,2023-03-06 16:00,17.3,,2.3,270,14,2.8,-10.5,1013.2,1021.2,1,1.93,,,0,0,,,2467,,,24.4,15.3,9.6,8.5,7.8
133,대전,2023-03-06 17:00,15.1,,2.6,200,17,2.9,-9.8,1013.1,1021.2,1,1.25,,,0,0,,,2674,,,17.7,14.6,10,9,8.2
133,대전,2023-03-06 18:00,13.4,,2.3,230,22,3.4,-7.9,1013.1,1021.2,1,0.5,,,2,0,Ci,,3043,,,11.4,12.8,10.1,9.2,8.5
133,대전,2023-03-06 19:00,11.3,,0.7,270,25,3.3,-8,1013.4,1021.6,0,0.03,,,0,0,,,3376,,,7.8,11.1,9.9,9.4,8.7
133,대전,2023-03-06 20:00,10.5,,2.1,230,33,4.2,-5.1,1013.8,1022.1,,,,,0,0,,,3503,,,6.5,9.9,9.5,9.3,8.9
133,대전,2023-03-06 21:00,9.4,,2.2,200,37,4.4,-4.5,1013.8,1022.1,,,,,0,0,,,3763,,,5.4,8.9,9.1,9.2,8.9
133,대전,2023-03-06 22:00,8.7,,2.5,200,48,5.4,-1.7,1014,1022.3,,,,,0,0,,,2578,,,4.4,8,8.7,9,8.9
133,대전,2023-03-06 23:00,7.1,,0,0,50,5,-2.6,1014.2,1022.6,,,,,0,0,,,2438,,,3.3,7.2,8.3,8.7,8.8
133,대전,2023-03-07 0:00,5.8,,0,0,56,5.2,-2.3,1014.1,1022.5,,,,,0,0,,,2739,,,2.6,6.5,7.9,8.4,8.6
133,대전,2023-03-07 1:00,5,,0,0,55,4.8,-3.3,1014.4,1022.8,,,,,0,0,,,2592,,,2.4,5.9,7.5,8.1,8.5
133,대전,2023-03-07 2:00,4.7,,0,0,58,5,-2.8,1014.2,1022.6,,,,,0,0,,,2319,,,2,5.6,7.2,7.8,8.4
133,대전,2023-03-07 3:00,4.1,,0,0,61,5,-2.7,1013.4,1021.8,,,,,4,4,Ac,30,1956,,,1.6,5.1,6.9,7.6,8.2
133,대전,2023-03-07 4:00,3.6,,0,0,63,5,-2.7,1013,1021.5,,,,,3,3,Ac,30,2049,,,1.6,4.8,6.7,7.4,8
133,대전,2023-03-07 5:00,3.9,,0,0,67,5.4,-1.6,1013,1021.5,,,,,4,4,Ac,30,1601,,,2.4,4.7,6.4,7.2,7.8
133,대전,2023-03-07 6:00,3.7,,0,0,64,5.1,-2.4,1013.2,1021.7,,,,,6,4,ScAc,19,1770,,,2.5,4.6,6.2,7,7.7
133,대전,2023-03-07 7:00,3.6,,0,0,65,5.2,-2.3,1013.1,1021.6,0,0,,,3,1,ScAc,19,1712,,,2.2,4.6,6.1,6.9,7.5
133,대전,2023-03-07 8:00,4.3,,0,0,65,5.4,-1.7,1013.6,1022,0,0.15,,,0,0,,,1682,,,3.1,4.6,6,6.7,7.4
133,대전,2023-03-07 9:00,7.8,,0,0,53,5.6,-1.2,1014,1022.3,0.8,0.68,,,0,0,,,1556,,,7.4,5.8,6.1,6.7,7.4
133,대전,2023-03-07 10:00,11.1,,0.7,110,40,5.3,-2,1013.8,1022,1,1.35,,,0,0,,,1451,,,13.3,7.5,6.3,6.8,7.3
133,대전,2023-03-07 11:00,16,,2.4,140,30,5.5,-1.5,1013.2,1021.3,1,1.91,,,0,0,,,1740,,,20.1,9.7,6.8,6.8,7.4
133,대전,2023-03-07 12:00,17.7,,3.8,230,29,5.9,-0.5,1012.8,1020.8,1,2.28,,,1,1,Sc,12,1941,,,23.8,11.8,7.4,7.2,7.4
133,대전,2023-03-07 13:00,19.3,,3.2,200,28,6.2,0.3,1011.9,1019.8,1,2.41,,,2,2,Sc,12,1890,,,27.8,13.6,8.2,7.6,7.6
133,대전,2023-03-07 14:00,20.4,,3.8,230,27,6.4,0.7,1010.9,1018.8,1,2.49,,,0,0,,,1978,,,28.6,15.5,9.1,8.2,7.8
133,대전,2023-03-07 15:00,20,,4.7,230,22,5.2,-2.3,1010.5,1018.4,1,2.11,,,0,0,,,1540,,,25.3,16,10,8.8,8.2
133,대전,2023-03-07 16:00,19,,4.1,250,24,5.3,-2,1010.7,1018.6,1,1.6,,,0,0,,,1684,,,22.6,16,10.6,9.3,8.6
